T =10;
M =3;
N =10;
penalty = 100;
bowserCapacity = 300;
initialBowserLevel = 10;
initialBowserLocation = 1;
tankCapacity =[20, 20, 20];
initialTankLevel =[10, 10, 10];
fuelConsumption =[
[4, 4, 2, 1, 3, 1, 4, 4, 3, 3],
[4, 2, 3, 4, 3, 1, 4, 2, 4, 4],
[2, 4, 1, 2, 2, 4, 1, 1, 2, 2]];
connectivity = [
[1, 1, 0, 0, 1, 0, 0, 0, 0, 0],
[1, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 1, 0, 1, 1, 0, 0, 1, 0, 1],
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1],
[0, 0, 0, 0, 0, 1, 0, 0, 1, 0],
[0, 0, 1, 0, 1, 0, 1, 0, 0, 0],
[0, 0, 0, 0, 0, 1, 0, 1, 0, 0],
[0, 1, 0, 0, 0, 0, 0, 0, 1, 1],
[1, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]];
distance = [[0., 96., 0., 0., 107., 0., 0., 0., 0., 0.],
[121.0, 0., 0., 0., 0., 0., 0., 0., 0., 0.],
[0., 92., 0., 103., 103., 0., 0., 92., 0., 77.],
[0., 90., 0., 0., 0., 0., 0., 0., 0., 91.],
[0., 0., 0., 0., 0., 102., 0., 0., 126., 0.],
[0., 0., 72., 0., 139., 0., 89., 0., 0., 0.],
[0., 0., 0., 0., 0., 80., 0., 83., 0., 0.],
[0., 119.8, 0., 0., 0., 0., 0., 0., 90., 91.],
[83., 0., 0., 0., 0., 0., 0., 0., 0., 0.],
[0., 0., 0., 0., 79., 0., 0., 0., 0., 0.]];
machineLocation = [
[[0, 0, 0, 0, 1, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]],
[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1],
[1, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]],
[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 1, 0],
[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]],
[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 1, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]],
[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0],
[0, 1, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]],
[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0],
[0, 0, 1, 0, 0, 0, 0, 0, 0, 0],
[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]],
[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 1, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]],
[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 1, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]],
[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1],
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]],
[[0, 0, 0, 0, 0, 1, 0, 0, 0, 0],
[0, 0, 0, 0, 1, 0, 0, 0, 0, 0],
[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]]];
Nbpartitions = 7;
