T =10;
M =10;
N =10;
penalty =100;
bowserCapacity =500;
initialBowserLevel =0;
initialBowserLocation = 1;
tankCapacity =[125, 125, 235, 235, 125, 112, 125, 235, 125, 146];
initialTankLevel =[15, 15, 20, 45, 15, 19, 23, 17, 3, 14];
fuelConsumption =[[0.208213, 0.208213, 0.208213, 0.208213, 0.208213, 0.208213, 0.208213, 0.208213, 0.208213, 0.208213],
[0.529728, 0.529728, 0.529728, 0.529728, 0.529728, 0.529728, 0.529728, 0.529728, 0.529728, 0.529728],
[0.375033, 0.375033, 0.375033, 0.375033, 0.375033, 0.375033, 0.375033, 0.375033, 0.375033, 0.375033],
[0.375033, 0.375033, 0.375033, 0.375033, 0.375033, 0.375033, 0.375033, 0.375033, 0.375033, 0.375033],
[0.208213, 0.208213, 0.208213, 0.208213, 0.208213, 0.208213, 0.208213, 0.208213, 0.208213, 0.208213],
[0.0803314, 0.0803314, 0.0803314, 0.0803314, 0.0803314, 0.0803314, 0.0803314, 0.0803314, 0.0803314, 0.0803314],
[0.364782, 0.364782, 0.364782, 0.364782, 0.364782, 0.364782, 0.364782, 0.364782, 0.364782, 0.364782],
[0.458316, 0.458316, 0.458316, 0.458316, 0.458316, 0.458316, 0.458316, 0.458316, 0.458316, 0.458316],
[0.529728, 0.529728, 0.529728, 0.529728, 0.529728, 0.529728, 0.529728, 0.529728, 0.529728, 0.529728],
[1.04989, 1.04989, 1.04989, 1.04989, 1.04989, 1.04989, 1.04989, 1.04989, 1.04989, 1.04989]];
connectivity = [[1, 1, 0, 0, 0, 0, 0, 0, 0, 0],
[1, 0, 1, 1, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 1, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 1, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 1, 0],
[0, 1, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 1, 0, 0],
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0],
[0, 1, 0, 0, 0, 0, 0, 0, 0, 1],
[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]];
distance = [[0, 92.1443, 0, 0, 0, 0, 0, 0, 0, 0],
[95.8048, 0, 123.294, 122.041, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 62.0565, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 120.095, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 0, 120.648, 0],
[0, 77.2222, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 139.407, 0, 0],
[0, 0, 0, 0, 0, 103.207, 0, 0, 0, 0],
[0, 149.863, 0, 0, 0, 0, 0, 0, 0, 93.1061],
[0, 0, 0, 0, 0, 92.7064, 0, 0, 0, 0]];
machineLocation = [[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 1, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 1, 0, 0],
[0, 0, 0, 0, 0, 0, 1, 0, 0, 0],
[0, 0, 1, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 0, 0, 0, 1, 0, 0],
[0, 0, 0, 0, 0, 0, 1, 0, 0, 0],
[0, 0, 1, 0, 0, 0, 0, 0, 0, 0],
[0, 0, 0, 0, 1, 0, 0, 0, 0, 0],
